---,Cost,KillBonus,BaseDamage,ArmourDamage,ArmourPenetration,HelmetDamage,HelmetBleed,Weight,FalloffModifier,MinFalloffDist,MaxFalloffDist
1911,200,800,100,100,100,100,100,0,0.4,400,500
57,500,300,100,100,100,100,100,0,0.4,400,500
sock,1000000,600,0,100,100,100,100,0,0.4,400,500
m9,250,400,100,100,100,100,100,0,0.4,400,500
de,800,600,100,100,100,100,100,0,0.4,400,500
revolver,800,600,100,100,100,100,100,0,0.4,400,500
cet9,650,500,100,100,100,100,100,0,0.4,400,500
smg,1000000,800,0,100,100,100,100,0,0.4,400,500
uzi,1000000,600,0,100,100,100,100,0,0.4,400,500
ak,1000000,600,0,100,100,100,100,0,0.4,400,500
mp5,1000000,400,0,100,100,100,100,0,0.4,400,500
p90,1000000,300,0,100,100,100,100,0,0.4,400,500
vanas,1000000,0,0,100,100,100,100,0,0.4,400,500
kross,1000000,400,0,100,100,100,100,0,0.4,400,500
ar9,1000000,800,0,100,100,100,100,0,0.4,400,500
shotgun,1500,600,100,100,100,100,100,0,0.4,150,200
sawedoff,1000,600,100,100,100,100,100,0,0.4,150,200
drumshotgun,4200,100,100,100,100,100,100,0,0.4,150,200
autoshotgun,1800,100,100,100,100,100,100,0,0.4,150,200
ak47,1000000,300,0,100,100,100,100,0,0.4,400,500
ak12,1000000,300,0,100,100,100,100,0,0.4,400,500
ar,1000000,300,0,100,100,100,100,0,0.4,400,500
aug,1000000,300,0,100,100,100,100,0,0.4,400,500
galil,1000000,300,0,100,100,100,100,0,0.4,400,500
m16,1000000,300,0,100,100,100,100,0,0.4,400,500
vss,1000000,400,0,100,100,100,100,0,0.4,400,500
lmga,1000000,100,0,100,100,100,100,0,0.4,400,500
awp,2200,0,100,100,100,100,100,0,0.4,400,500
autosniper,1,100,100,100,100,100,100,0,0.4,400,500
antitank,4800,0,100,100,100,100,100,0,0.4,400,500
scar,3500,100,100,100,100,100,100,0,0.4,400,500
luger,600,400,100,100,100,100,100,0,0.4,400,500
tokarev,300,800,100,100,100,100,100,0,0.4,400,500
webley,800,600,100,100,100,100,100,0,0.4,400,500
sten,1600,400,100,100,100,100,100,0,0.4,400,500
mp40,1600,400,100,100,100,100,100,0,0.4,400,500
thompson,1600,400,100,100,100,100,100,0,0.4,400,500
stg44,2700,300,100,100,100,100,100,0,0.4,400,500
ppsh,3000,100,100,100,100,100,100,0,0.4,400,500
m1garand,2400,400,100,100,100,100,100,0,0.4,400,500
g43,3500,100,100,100,100,100,100,0,0.4,400,500
svt40,3500,400,100,100,100,100,100,0,0.4,400,500
mosin,1600,800,100,100,100,100,100,0,0.4,400,500
springfield,1600,800,100,100,100,100,100,0,0.4,400,500
kar98,1600,800,100,100,100,100,100,0,0.4,400,500
bar,3000,100,100,100,100,100,100,0,0.4,400,500
bren,3000,100,100,100,100,100,100,0,0.4,400,500
dp27,3000,100,100,100,100,100,100,0,0.4,400,500
mg42,3000,100,100,100,100,100,100,0,0.4,400,500
rl_m1a1,4300,150,100,100,100,100,100,0,0.4,400,500
rl_piat,4000,150,100,100,100,100,100,0,0.4,400,500
rl_panzer,4500,150,100,100,100,100,100,0,0.4,400,500
rl_rpg,4200,150,100,100,100,100,100,0,0.4,400,500
smoke,1,0,0,100,100,100,100,0,0.4,400,500
smoke_ru,1,0,0,100,100,100,100,0,0.4,400,500
flash,1,1200,0,100,100,100,100,0,0.4,400,500
flash_ru,1,1200,0,100,100,100,100,0,0.4,400,500
grenade_us,600,0,100,100,100,100,100,0,0.4,400,500
smoke_us,300,0,0,100,100,100,100,0,0.4,400,500
grenade_ger,600,0,100,100,100,100,100,0,0.4,400,500
smoke_ger,300,0,100,100,100,100,100,0,0.4,400,500
grenade_svt,600,0,100,100,100,100,100,0,0.4,400,500
smoke_svt,300,0,100,100,100,100,100,0,0.4,400,500
grenade,600,0,100,100,100,100,100,0,0.4,400,500
grenade_ru,600,0,100,100,100,100,100,0,0.4,400,500
armour,1,0,100,100,100,100,100,0,0.4,400,500
kevlarhelmet,1,0,100,100,100,100,100,0,0.4,400,500
supp_pistol,1,-50,100,100,100,100,100,0,0.4,400,500
supp_rifle,1,-200,100,100,100,100,100,0,0.4,400,500
scope,400,0,100,100,100,100,100,0,0.4,400,500
grip_angled,1,-100,100,100,100,100,100,0,0.4,400,500
grip_vertical,1,-150,100,100,100,100,100,0,0.4,400,500
flashlight_rifle,300,-100,100,100,100,100,100,0,0.4,400,500
laser_rifle,300,-100,100,100,100,100,100,0,0.4,400,500
laser_pistol,300,-100,100,100,100,100,100,0,0.4,400,500
acog,1,-50,100,100,100,100,100,0,0.4,400,500
holo,1,-150,100,100,100,100,100,0,0.4,400,500
reddot,1,-150,100,100,100,100,100,0,0.4,400,500
painkillers,500,0,100,100,100,100,100,0,0.4,400,500
knife,100,1200,100,100,100,100,100,0,0.4,400,500
